API #,Well Name,Operator Name,County,State,Latitude,Longitude
33-053-04211,ASH FEDERAL 5300 11-18T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.079672,-103.602545
33-053-00605,WRRMU 4-28,SM ENERGY COMPANY,McKenzie County,ND,47.346236,-103.55443
33-053-06019,CHALMERS 5300 21-19 6B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.061706,-103.602522
No Results,No Results,No Results,No Results,No Results,No Results,No Results
33-105-02720,ATLANTA 13-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109439,-103.727678
33-053-06243,KLINE FEDERAL 5300 11-18 2B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.079234,-103.60267
33-053-03911,YUKON 5301 41-12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.082914,-103.622634
33-053-05998,WADE FEDERAL 5300 41-30 7T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.041208,-103.603016
33-053-03413,WADE FEDERAL 5300 21-30H,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.047147,-103.6031
No Results,No Results,No Results,No Results,No Results,No Results,No Results
33-053-06129,WADE FEDERAL 5300 21-30 12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.048736,-103.602904
33-053-06024,CHALMERS 5300 21-19 11B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.061254,-103.602525
33-053-03911,YUKON 5301 41-12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.082914,-103.622634
33-053-04069,MAGNUM 3-36-25H,"SLAWSON EXPLORATION COMPANY, INC.",McKenzie County,ND,48.024944,-103.605166
33-053-06026,KLINE FEDERAL 5300 41-18 10B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.068997,-103.602868
33-053-06051,WADE FEDERAL 5300 41-30 9B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.041027,-103.60302
33-053-06131,WADE FEDERAL 5300 21-30 13B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.048917,-103.6029
33-053-90329,CARSON SWD 5301 12-24,FALCON MIDSTREAM SERVICES LLC,McKenzie County,ND,48.066082,-103.615308
33-105-02732,ATLANTA 1-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109552,-103.731528
33-053-04855,COLUMBUS FEDERAL 2-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075342,-103.66978
33-105-02727,ATLANTA FEDERAL 6-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109504,-103.729972
33-053-05995,WADE FEDERAL 5300 31-30 2B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.042447,-103.603155
33-053-06548,LEWIS FEDERAL 5300 11-31 3B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.035835,-103.603111
No Results,No Results,No Results,No Results,No Results,No Results,No Results
No Results,No Results,No Results,No Results,No Results,No Results,No Results
No Results,No Results,No Results,No Results,No Results,No Results,No Results
33-105-90258,ATLANTA #1 SWD,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.110204,-103.731807
33-053-06012,CHALMERS WADE FEDERAL 5301 44-24 12TXR,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055551,-103.604905
33-105-02729,ATLANTA 4-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109535,-103.730975
33-053-03911,YUKON 5301 41-12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.082914,-103.622634
33-053-05906,WADE FEDERAL 5300 31-30 11T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.044162,-103.60267
33-053-04853,TALLAHASSEE 3-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075131,-103.669967
33-105-02721,ATLANTA 12-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109444,-103.727862
33-053-06022,CHALMERS 5300 21-19 10T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.061344,-103.602525
33-105-02730,ATLANTA 3-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.10954,-103.73116
33-053-06010,CHALMERS 5301 44-24 3BR,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055776,-103.604903
No Results,No Results,No Results,No Results,No Results,No Results,No Results
