API #,Well Name,Lease Name,Location,Operator,Status,Producetion_information,Well_Type,Closest_City
33-053-06755,KLINE FEDERAL 5300 31-18 15T ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Inactive,,Oil & Gas,Williston
33-053-04854,Tallahassee 2-16H ,"CONTINENTAL RESOURCES, INC.","McKenzie County, ND","CONTINENTAL RESOURCES, INC.",Active,"491 Barrels of Oil Produced in Jul 2023
814 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-06232,Qtr-Qtr ,,,,,,,
33-105-02726,Atlanta Federal 7-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"1.3 k Barrels of Oil Produced in Jul 2023
1.5 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-04211,Ash Federal 5300 11-18T ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"264 Barrels of Oil Produced in Jul 2023
170 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-00605,Kline Federal 5300 31-18 8B ,,,,,,,
33-053-06019,Chalmers 5300 21-19 6B ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"553 Barrels of Oil Produced in Jul 2023
3.2 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
00-20924,DAHL FEDERAL 2-15H ,,,,,,,
33-105-02720,Atlanta 13-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"258 Barrels of Oil Produced in Jul 2023
471 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-06243,Kline Federal 5300 11-18 2B ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"391 Barrels of Oil Produced in Jul 2023
1.7 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-03911,Spacing Unit Description ,,,,,,,
33-053-05998,Wade Federal 5300 41-30 7T ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"448 Barrels of Oil Produced in Jul 2023
2.2 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-03413,Wade Federal 5300 21-30H ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Inactive,,Oil & Gas,Williston
1208152,,,,,,,,
33-053-06129,Wade Federal 5300 21-30 12T ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"963 Barrels of Oil Produced in Jul 2023
4.7 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
